iter	Logloss
0	0.6553186487
1	0.6146731279
2	0.5787982077
3	0.5523672222
4	0.5282859645
5	0.4981841099
6	0.4731975916
7	0.4528530105
8	0.4379443887
9	0.4226428687
10	0.4076434477
11	0.3950237698
12	0.3812841094
13	0.3701019287
14	0.3604964268
15	0.3526306152
16	0.3444995017
17	0.3363384043
18	0.3300365872
19	0.3215844111
20	0.3161508694
21	0.3118812341
22	0.3053226863
23	0.3002292021
24	0.2949810891
25	0.2887217204
26	0.2842428262
27	0.2812682415
28	0.277263814
29	0.2734098395
30	0.2700822932
31	0.2666458632
32	0.2635427404
33	0.2598099414
34	0.2562265906
35	0.2545108246
36	0.2530586337
37	0.2516825484
38	0.2495112478
39	0.246933627
40	0.2439035486
41	0.2418034557
42	0.239943155
43	0.2376646034
44	0.2353806829
45	0.2329972664
46	0.2314259407
47	0.2289690873
48	0.2271338255
49	0.2249766848
50	0.2228947235
51	0.2211667756
52	0.2204294244
53	0.2196494836
54	0.2186084323
55	0.216585277
56	0.2142773852
57	0.2131888935
58	0.2117086026
59	0.2099726956
60	0.2085268311
61	0.2079492263
62	0.2064023901
63	0.2054237083
64	0.2041814514
65	0.2030109044
66	0.2019406542
67	0.2007740162
68	0.200164481
69	0.1993801761
70	0.1983195803
71	0.1967205157
72	0.1951056272
73	0.1939031028
74	0.1920262246
75	0.1902134585
76	0.1888630871
77	0.187899617
78	0.1864508798
79	0.1858796642
80	0.1848933216
81	0.1834909573
82	0.1827931973
83	0.1812166756
84	0.1801651378
85	0.1785378633
86	0.1773636115
87	0.176286768
88	0.1751363935
89	0.1741717146
90	0.1730969904
91	0.1711578526
92	0.1699470708
93	0.169066645
94	0.1684014905
95	0.1668827701
96	0.1656449243
97	0.1647433371
98	0.1626896642
99	0.16156571
100	0.1608002902
101	0.1599509157
102	0.1591056541
103	0.1572297807
104	0.1564059473
105	0.1556937449
106	0.1547918123
107	0.1538631298
108	0.1531930931
109	0.152424204
110	0.1519690306
111	0.1506827084
112	0.1495871524
113	0.1486914364
114	0.1478641337
115	0.1470388405
116	0.1462068911
117	0.1456018456
118	0.1453589922
119	0.1448091735
120	0.1441949287
121	0.143970411
122	0.1434274995
123	0.1428447143
124	0.1420174116
125	0.1408983395
126	0.1402005011
127	0.1395197111
128	0.1390486823
129	0.1385288003
130	0.1381660744
131	0.1374255679
132	0.1365702594
133	0.135711874
134	0.1348778054
135	0.1341876905
136	0.1333027435
137	0.1323579388
138	0.1314375136
139	0.1310940338
140	0.1303860621
141	0.1289747026
142	0.1285595835
143	0.1275199608
144	0.1267502239
145	0.1261236167
146	0.125137282
